Entreprise,Ville,Département,Code postal,Nb licenciés,Date approximative
Jtekt,Irigny,Rhône,69540,219,28/10/2020
Cooptalis,Marcq-en-Baroeul,Nord,59700,56,30/10/2020
Unisys,,France,,89,30/10/2020
Nowy Steel,Bressuire,Deux-Sèvres,79300,124,29/10/2020
Hippocampe,,France,,90,11/02/2020
Micro Mécanique Pyrénéenne,Gurmençon,Pyrénées-Atlantiques,64400,9,11/04/2020
Akka,Blagnac,Haute-Garonne,31700,1150,11/04/2020
Kidiliz,,France,,1000,11/05/2020
Nespoli,,France,,42,11/04/2020
BarbotCM,Descartes,Inde-et-Loire,37160,44,11/03/2020
Total,Grandpuits-Bailly-Carrois/,Seine-et-Marne,77720,700,12/09/2020
La Provence,Marseille,Bouches-du-Rhône,13000,18,11/05/2020
Reims Events,Reims,Marne,51100,8,11/06/2020
Société Générale,,France,,640,11/09/2020
Repetto,Saint-Médard-d'Excideuil,Dordogne,24160,51,11/11/2020
Camus,Cognac,Charente,16100,29,11/10/2020
Printemps,,France,,428,11/10/2020
RKS Slewing Bearings,Avallon,Yonne,89200,141,14/11/2020
Dietal,Saint-Georges-de-Mons,Puy-de-Dôme,63780,140,17/11/2020
Geismar,Colmar,Haut-Rhin,68000,49,18/11/2020
Calcia,Cruas,Ardèche,07076,162,18/11/2020
Qualipac,Aurillac,Cantal,15000,40,17/11/2020
Suffixe,Rioz,Haute-Saône,70190,6,17/11/2020
Vallourec,Déville-les-Rouen,Seine-Maritime,76250,350,18/11/2020
KaliStrut,Saint-Vallier,Drôme,71230,52,19/11/2020
Mécaprec,Lavelanet,Ariège,09300,9,19/11/2020
Camelin,Besançon,Doubs,25000,8,19/11/2020
Vitry habitat,Vitry-le-François,Marne,51300,27,18/11/2020
Danone,,France,,458,23/11/2020
Permaswage,Les Clayes-sous-Bois,Yvelines,78340,73,22/11/2020
Sud Ouest Etalages,Brive-la-Gaillarde,Corrèze,19100,36,21/11/2020
IBM,,France,,1400,23/11/2020
Easyflyer,Orléans,Loiret,45000,35,25/11/2020
Alvance,Ingrandes,Vienne,86220,300,25/11/2020
ingéliance,Le Havre,Seine-Maritime,76600,32,25/11/2020
Howmet,Montbrison,Loire,42600,9,26/11/2020
Académie de Lyon,,France,,26,26/11/2020
Sandvik,Orléans-la-Source,Loiret,45100,81,25/11/2020
Air Liquide (soins à domicile),,France,,105,09/08/2020
Air Liquide (vitry),Vitry,Val-de-Marne,94400,35,24/11/2020
LMT-Belin,Lavancia,Jura,01590,80,10/02/2020
Schlumberger,,France,,400,25/11/2020
Creuzet Aéronautique,Marmande,Lot-et-Garonne,47200,197,25/11/2020
Axeréal,,France,,220,26/11/2020
Mars,,France,,216,25/11/2020
Amphenol Air LB,Carignan,Ardennes,08110,8,27/11/2020
Bénéteau,,France,,1390,09/10/2020
Disneyland,Chessy,Seine-et-Marne,77700,1000,30/11/2020
Cauquil,Mondouzil,Haute-Garonne,31850,34,12/01/2020
Guillemet,Argenton-sur-creuse,Indre,36200,29,12/01/2020
Grid,,France,,,12/01/2020
Cerinnov,Limoges,Haute-Vienne,87000,13,12/02/2020
Merck,,France,,50,12/02/2020
Latelec,Labège,Haute-Garonne,31670,160,12/02/2020
Comexposium,,France,,135,12/02/2020
Borgwarner,Tulle,Corrèze,19000,368,12/05/2020
OI-France,Vergèze,Gard,30310,18,12/07/2020
Spherea Test & Services,,France,,96,12/07/2020
Hansaton,Sarreguemines,Moselle,57200,14,12/07/2020
HSBC,,France,,557,12/07/2020
OI-France,Vayres,Gironde,33870,13,12/07/2020
GRISS,Armentières,Nord,59280,80,12/09/2020
Aubert & Duval,,France,,462,12/09/2020
ADP,,France,,1150,12/09/2020
GE Steam Power,Belfort,Territoire de Bellefort,90000,240,12/04/2020
Liberty Fonte Poitou,Ingrandes-sur-Vienne,Vienne,86220,292,12/07/2020
Crouzet,Alès,Gard,30100,69,12/10/2020
Maxam Tan,Mazingarbe,Pas-de-Calais,62270,75,12/12/2020
Visual Transdev,Vitry-sur-Seine,Val-de-Marne,94400,63,13/12/2020
Renault Trucks,France,Ain,,290,15/12/2020
Autoliv France,Gournayen-Bray,Seine-Maritime,76220,48,15/12/2020
Integra,Biot,Alpes-Maritimes,06410,102,14/12/2020
SNCF,,France,,7000,18/12/2020
Peters Surgical,Bobigny,Seine-Saint-Denis,93022,60,18/12/2020
U-Shin,Nevers,Nièvre,58000,200,17/12/2020
HMY,Monéteau,Yonne,89470,26,17/12/2020
John Deere,,France,,45,16/12/2020
SPB,Alençon,Orne,61000,119,17/12/2020
Almerys,Clermont-Ferrand,Puy-de-Dôme,63000,47,17/12/2020
Saint Gobain Verre Solutions,Trélazé,Maine-et-Loire,49800,49,21/12/2020
Radiall,Chateau-Renault,Indre-et-Loire,37110,46,24/12/2020
Autogrill,,France,,117,23/12/2020
Delpierre,Wisches,Bas-Rhin,67130,83,22/12/2020
Itab,Romorantin,Loir-et-Cher,41200,42,22/12/2020
Flybus,,France,,22,21/12/2020
Gifrer,Décines Charpieu,Rhône,69150,125,16/12/2020
Sogem Industrie,Flines-lez-Râches,Nord,59148,17,28/12/2020
Lapeyre,,France,,933,23/12/2020
Barrière,Enghien-les-Bains,Val-d'Oise,95880,70,29/12/2020
Michelin,,France,,2300,01/06/2021
Stal,Romorantin,Loire-et-Cher,41200,7,01/07/2021
Oméga Systemes Atlantique,Saint-Philibert-de-Grandlieu,Loire-Atlantique,44310,29,01/05/2021
Conduent,Roubaix,Pas de Calais,59170,304,01/05/2021
Papeterie de Bègles,Bègles,Gironde,33130,92,01/09/2021
National Tours,Rennes,Ille-et-Vilaine,35000,20,01/09/2021
Girondins de Bordeaux,Bordeaux,Gironde,33000,26,01/09/2021
Galeries Lafayette,,France,,189,01/12/2021
GBT France,,France,,148,13/01/2021
Matines,Montdidier,Somme,80500,48,01/09/2021
Sumpar,Boos,Seine-Maritime,76520,48,13/01/2021
Tornier,Montbonnot-Saint-Martin,Isère,38330,158,13/01/2021
Hotels Parisiens,Paris,Ille-de-France,75000,742,01/10/2021
France Distribution Gestion,Coulaines,Sarthe,72190,10,15/01/2021
SKF,Avallon,Yonne,89200,141,15/01/2021
Corsair,,France,,126,15/01/2021
Kuoni,,France,,60,14/01/2021
FDG,,France,,100,19/01/2021
Rassemblement National,,France,,10,20/01/2021
Addup,,France,,63,21/01/2021
FedEx,,France,,279,23/01/2021
SM Caen,Caen,Calvados,14000,20,26/01/2021
Parti socialiste,,France,,11,26/01/2021
Blablabus,,France,,15,27/01/2021
Colas,,Maritinique,,28,27/01/2021
Flunch,,France,,1300,27/01/2021
Eclor-Boissons,Livarot,Calvados,14140,27,28/01/2021
Circet,La Possession,La Réunion,97419,45,02/01/2021
Nimrod,Nouic,Haute-Vienne,87330,19,30/01/2021
Aérolyce,Bellab,Haute-Vienne,87300,6,30/01/2021
Lisi Medical,Neyron,Ain,01700,30,02/02/2021
L'Occitane,,France,,60,31/01/2021
Sanofi,,France,,364,28/01/2021
Exterion Media France,,France,,99,29/01/2021
Nocibé,,France,,347,28/01/2021
Vacances Bleues,,France,,9,02/07/2021
GL Events,,France,,44,02/10/2021
Makeen Energy,Buzançais,Indre,36500,80,02/10/2021
Euronews,Lyon,Rhône,69000,40,02/09/2021
Tornier,Montbonnot-Saint-Martin,Isère,38330,150,02/09/2021
Inditex Zara,,France,,72,02/10/2021
Greif,Le Grand-Quevilly,Seine-Maritime,76120,25,02/11/2021
Cora,,France,,1000,31/01/2020
Expedia,,France,,280,16/02/2021
Dielh Aviation,Colomiers,Haute-Garonne,31772,50,16/02/2021
Gibert Joseph,Paris,Ile-de-France,75000,71,17/02/2021
OI-France,Puy-Guillaume,Puy-de-Dôme,63290,30,20/11/2020
Total,Gargenville,Yvelines,78440,29,17/02/2021
Mariott Rive Gauche,Paris,Ile-de-France,75000,260,23/02/2021
Aluminium Sabart,Tarascon-sur-Ariège,Ariège,09400,9,22/02/2021
Aéroport Bordeaux,Mérignac,Gironde,33700,55,23/02/2021
AAA,Méaulte,Somme,80300,88,25/02/2021
Pizza Pino,Paris,Ile-de-France,75000,97,28/02/2021
April,,France,,180,03/02/2021
SFR,,France,,1972,03/03/2021
Comptoir des cotonniers & Princesse Tam Tam,,France,,285,03/04/2021
FM Logistic,Savigny-sur-Clairis,Yonne,89150,230,03/07/2021
Bosch,Rodez,Aveyron,12000,750,03/06/2021
Athos Aeronautique,Toulouse,Haute-Garonne,31000,7,03/05/2021
Dresser-Rand,Le Havre,Seine-Maritime,76600,300,03/03/2021
Aciérie et Fonderie Haute Sambre,Berlaimont,Nord,59145,8,03/11/2021
T-Systems,,France,,44,03/10/2021
FDG Group,,France,,89,03/11/2021
20 Minutes,,France,,6,03/12/2021
ABB,Bagnères-de-Bigorre,Hautes-Pyrénées,65200,10,03/12/2021
Possehl Electronics,Roche-La-Molière,Loire,42230,28,03/12/2021
SAM,Viviez,Aveyron,12110,200,21/03/2021
Banque De France,,France,,600,19/03/2021
But La Jaille,Dothémare,Guadeloupe,97139,10,19/03/2021
Gazel Energie,,France,,219,16/03/2021
Fairmont Hotel,,Monaco,,53,22/03/2021
Socla Watts,Méry,Savoie,73155,50,22/03/2021
Usine du Sud,Yaté,Nouvelle Calédonie,98834,30,25/03/2021
Knorr,Duppigheim,Alsace,67120,261,25/03/2021
Lafarge,Contes,Alpes-Maritimes,06390,65,02/03/2021
Mediapro,Saint-Georges-d'Orcques,Hérault,34680,85,29/03/2021
Sennheiser France,Ivry-sur-Seine,Val-de-Marne,94205,28,24/03/2021
Ageco,Amiens,Somme,80000,45,31/03/2021
Ferroglobe,,France,,352,30/03/2021
Royer,Cholet,Maine-et-Loire,49300,200,09/10/2020
Quotidiens de presse,,France,,1553,04/08/2021
XPO Logistics,Langon,Gironde,33210,25,04/10/2021
Fédération Léo Lagrange,Saint-Beauzire,Haute-Loire ,63360,5,04/12/2021
Europe 1,,France,,40,04/12/2021
Diehl,Colomiers,Haute-Garonne,31772,53,04/12/2021
SEARD,Pleurtuit,Ile-et-Vilaine,35730,18,13/04/2021
Interforum,,France,,38,01/05/2021
Bio-Rad,,France,,280,17/04/2021
Flauraud,,France,,112,21/04/2021
Psychologies,Paris,Ile de France,,7,21/04/2021
Alvance Wheels,Diors,Indre,,287,22/04/2021
Aquarese,Douvrin,Pas-de-Calais,62138,27,24/04/2021
Aperam,Gueugnon,Saône-et-Loire,71130,110,22/04/2021
Fonderie MBF,Saint-Claude,Jura,39200,280,22/04/2021
BNP Paribas,France,,,300,29/04/2021
Alteo,Gardanne,Bouches-du-Rhône,13120,28,29/04/2021
Saipol,Montoir-de-Bretagne,Loire-Atlantique,44550,33,05/02/2021
Jacob Delafon,Damparis,Jura,39500,151,12/02/2020
Maty,,France,,54,12/07/2020
Derichebourg,Blagnac,Haute-Garonne,31700,160,09/01/2020
Astérion,Carquefou,Loire-Atlantique,44470,62,05/04/2021
Team Plastique,Châteaubriant,Loire-Atlantique,44110,42,31/08/2020
La Halle,,France,,1938,07/09/2020
Shiseido,,France,,220,05/04/2021
LBP,Granville,Normandie,50400,18,05/05/2021
NafNaf,,France,,226,01/04/2021
Aptis,Hangenbieten,Bas-Rhin,67980,141,05/05/2021
Refresco,Château-Thébaud,Loire Atlantique,44690,60,05/11/2021
Domaine de Chalès,Nouan-le-Fuzelier,Loir-et-Cher,41600,22,05/11/2021
FFF,,France,,26,17/05/2021
Total,Mazingarbe,Pas-de-Calais,62670,72,17/05/2021
Bayer,,France,,474,18/05/2021
Hélio,Corbeille-Essonnes,Essonne,,62,09/10/2020
ACPP,Digulleville,Manche,50440,57,25/05/2021
ACDN,Agneaux,Manche,50180,16,18/05/2021
Kalhyge,Saint-Arnoult,Calvados,14800,40,25/05/2021
Agriandre,Conches-en-Ouche,Eure,27190,45,27/05/2021
Office Dépot,,France,,1040,06/03/2021
Hypertrac,Saint-Aubin-lès-Elboeuf,Seine-Maritime,76410,8,06/02/2021
EHPAD,Yvetot,Seine-Maritime,76190,20,06/02/2021
InterDigital,Cesson-Sévigné,Ille-et-Vilaine,35510,60,06/04/2021
SoftBank Robotics,,France,,165,14/06/2021
Carrier Transicold,Franqueville-Saint-Pierre,Seine-Maritime,76520,18,16/06/2021
Cavilam,Vichy,Allier,03310,20,17/06/2021
ONF,,France,,495,18/06/2021
WFS,Roissy-en-France,Val d'Oise,95700,174,20/06/2021
60 Millions de Consommateurs,,France,,7,22/06/2021
Chromadurlin,Creysse,Dordogne,24100,33,22/06/2021
Compagnie parisienne de nettoyage,Mantes-La-VIlle,Yvelines,78711,20,29/06/2021
Condé Nast France,,France,,67,07/05/2021
Néovia,Languidic,Morbihan,56440,100,07/09/2021
FOI,Livarot,Calvados,14140,52,23/07/2021
Philips France,,France,,80,
GTO2,,La Réunion,,150,
GazelEnergie,Gardanne,Bouches-du-Rhône,13120,98,
Tidee,Guise,Aisne,02120,73,
Keolis,Vif,Isère,38450,15,
AEG,Chambray-les-tours,Indre-et-Loire,37170,60,
ING,,France,,517,
Synthomer,Sandouville,Seine-Maritime,76430,37,
Elsan,Montauban,Tarn-et-Garonne,82000,17,
Mars Wrigley,Biesheim,Haut-Rhin,68600,280,
TKE,Saint-Barthelemy d'Anjou,Maine-et-loire,49267,55,
Seita,Bergerac,Dordogne,24100,5,
Biscuiterie Poult,Aire sur l'Adour,Landes,40800,77,
Ariane Group,,France,,600,
Dura Automotive Systems,Le Mans,Sarthe,72000,30,
Hager,Saverne,Alsace,67700,150,
